state,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyRate,AvgPricePerSqFt,Region
AK,3249230,35.508,77971.52667,36521.76667,8.156226552,179.8633333,West Region
AL,19012715,39.8669954,48733.66338,24882.47074,15.9202508,71.85037256,South Region
AR,12036435,40.48411633,45011.75391,23539.1387,16.35018075,67.3251305,South Region
AZ,35602318,42.20061686,55499.32694,28488.31117,14.84534482,113.7232122,West Region
CA,222435227,38.73514667,68808.33373,33960.24013,14.39142998,312.4415111,West Region
CO,29255494,39.46416979,65367.29526,33525.70474,11.28064948,184.2440699,West Region
CT,12469675,41.84085052,79487.00644,39706.99871,9.230511562,144.8028351,Northeast Region
DC,3776220,35.36190476,83571.95238,57157.04762,14.87348279,435.3425926,South Region
DE,4772923,43.37083333,66123.51136,34266.18561,9.951727588,136.3405934,South Region
FL,109922110,43.97302497,52076.33688,29103.18768,14.79476017,115.4719266,South Region
GA,48376521,38.34415423,51820.08043,25792.75083,16.81578037,78.73828773,South Region
HI,8192227,40.0311054,66505.88175,29128.19537,12.00611217,387.0518423,West Region
IA,13188034,40.26289731,58767.74267,28881.31846,9.685039052,94.68872249,Midwest Region
ID,8526386,38.83795987,48372.56856,23679.03512,14.73315631,113.6535674,West Region
IL,60201449,39.49301763,66410.66609,32377.53889,10.84470585,116.5879134,Midwest Region
IN,32048415,39.09328238,53557.91633,25447.64481,12.20848402,72.78868329,Midwest Region
KS,13965295,39.44593614,58454.62554,28718.18287,10.61671051,83.33309144,Midwest Region
KY,17129911,38.70460922,51473.52004,26120.57114,15.4518855,81.41349365,South Region
LA,8336213,37.34007491,51207.2809,26123.897,16.81192332,80.53121099,South Region
MA,38344920,42.18734424,78948.6176,39732.34268,9.181447482,224.47206,Northeast Region
MD,33840826,41.0327927,84020.28789,38223.82919,8.423298833,159.344864,South Region
ME,4649405,44.63327402,59042.38612,31326.74733,10.35643928,147.4790925,Northeast Region
MI,37271830,40.43349146,60108.44687,29394.48387,11.50490176,93.70398482,Midwest Region
MN,28601343,40.62070911,62564.15431,31073.0552,10.36172716,125.5300161,Midwest Region
MO,28029780,39.18970894,52324.41788,26550.98493,14.50236078,88.50454782,Midwest Region
MS,11673709,38.87513751,42149.58196,21659.85479,19.52339158,63.02878621,South Region
MT,4307757,42.40539216,50628.32843,27690.5049,12.74027991,155.6476716,West Region
NC,52397830,40.67126704,48388.80545,25704.6282,16.49275312,91.743238,South Region
ND,1980060,34.42777778,56682.30556,31850.47222,11.81662003,155.755787,Midwest Region
NE,7889858,37.18027211,61069.46599,30050.72789,10.80672079,102.269983,Midwest Region
NH,7761504,44.67512438,69094.92454,34483.50829,7.845785107,122.9045053,Northeast Region
NJ,50022793,41.89826319,87663.76486,41692.47963,7.606476986,184.0700011,Northeast Region
NM,8189595,40.43727811,52483.68935,28327.71302,17.86217468,120.8365385,West Region
NV,14656995,40.89618718,60556.48007,32123.21144,12.57553271,132.0623917,West Region
NY,97292720,41.80042661,66861.47369,33857.41018,11.23699917,195.8271449,Northeast Region
OH,57064255,40.63523077,54405.87821,27218.11205,12.74700883,76.96457265,Midwest Region
OK,18966283,38.46965841,48542.49833,24858.07502,15.88228893,60.98548783,South Region
OR,22078843,42.65451211,52181.2069,27404.50477,15.182345,150.96191,West Region
PA,61730052,41.84434264,60426.08545,30360.01896,10.55244169,101.3533809,Northeast Region
RI,5971994,41.73251366,68405.8224,34144.12022,10.07000578,166.3636157,Northeast Region
SC,23356488,40.60255848,46470.39181,25024.87427,17.38525423,84.23288255,South Region
SD,1985408,36.91319444,58962.72222,28125.1875,9.094426364,133.2991898,Midwest Region
TN,36333398,41.11201401,45537.738,23881.80841,16.74834936,75.74959136,South Region
TX,138034844,36.38265081,56663.25981,27594.92761,16.01723546,84.48123761,South Region
UT,15754134,31.63469985,64245.2489,25787.79941,11.39739884,162.0405076,West Region
VA,42243792,40.71317675,69802.19307,33413.83081,10.80780715,141.7859939,South Region
WA,40124137,40.45772856,62183.74741,31453.13572,12.7223946,174.8502199,West Region
WI,16652001,38.46947637,60667.28863,30807.42146,11.58425342,116.4173052,Midwest Region
WV,5967399,42.10833333,46668.56845,24667.86012,15.1304131,66.58581349,South Region
WY,2597152,38.60833333,58011.09615,29520.20513,11.83482934,157.9166667,West Region